panel_id,person_name,season_id,role
PN0001,RuPaul,US01,HOST
PN0002,Merle Ginsberg,US01,MAIN_JUDGE
PN0003,Santino Rice,US01,MAIN_JUDGE
PN0004,RuPaul,US02,HOST
PN0005,Merle Ginsberg,US02,MAIN_JUDGE
PN0006,Santino Rice,US02,MAIN_JUDGE
PN0007,RuPaul,US03,HOST
PN0008,Michelle Visage,US03,MAIN_JUDGE
PN0009,Santino Rice,US03,MAIN_JUDGE
PN0010,Billy B,US03,ROTATING_JUDGE
PN0011,RuPaul,US04,HOST
PN0012,Michelle Visage,US04,MAIN_JUDGE
PN0013,Santino Rice,US04,MAIN_JUDGE
PN0014,Billy B,US04,ROTATING_JUDGE
PN0015,RuPaul,US05,HOST
PN0016,Michelle Visage,US05,MAIN_JUDGE
PN0017,Santino Rice,US05,MAIN_JUDGE
PN0018,RuPaul,US06,HOST
PN0019,Michelle Visage,US06,MAIN_JUDGE
PN0020,Santino Rice,US06,MAIN_JUDGE
PN0021,RuPaul,US07,HOST
PN0022,Michelle Visage,US07,MAIN_JUDGE
PN0023,Carson Kressley,US07,ROTATING_JUDGE
PN0024,Ross Mathews,US07,ROTATING_JUDGE
PN0025,RuPaul,US08,HOST
PN0026,Michelle Visage,US08,MAIN_JUDGE
PN0027,Carson Kressley,US08,ROTATING_JUDGE
PN0028,Ross Mathews,US08,ROTATING_JUDGE
PN0029,RuPaul,US09,HOST
PN0030,Michelle Visage,US09,MAIN_JUDGE
PN0031,Carson Kressley,US09,ROTATING_JUDGE
PN0032,Ross Mathews,US09,ROTATING_JUDGE
PN0033,RuPaul,US10,HOST
PN0034,Michelle Visage,US10,MAIN_JUDGE
PN0035,Carson Kressley,US10,ROTATING_JUDGE
PN0036,Ross Mathews,US10,ROTATING_JUDGE
PN0037,RuPaul,US11,HOST
PN0038,Michelle Visage,US11,MAIN_JUDGE
PN0039,Carson Kressley,US11,ROTATING_JUDGE
PN0040,Ross Mathews,US11,ROTATING_JUDGE
PN0041,RuPaul,US12,HOST
