event_id,queen_id,season_id,episode_id,event_type,decided_by_queen_id,notes,farewell
E0001,Q0009,US01,US01E01,eliminated,-,-,-
E0002,Q0008,US01,US01E02,eliminated,-,-,-
E0003,Q0007,US01,US01E03,eliminated,-,-,-
E0004,Q0006,US01,US01E04,eliminated,-,-,-
E0005,Q0005,US01,US01E05,eliminated,-,-,-
E0006,Q0004,US01,US01E06,eliminated,-,-,-
E0007,Q0003,US01,US01E08,eliminated,-,-,-
E0008,Q0021,US02,US02E01,eliminated,-,-,"Love you all! Turn it out... Shangela ""DJ"
E0009,Q0020,US02,US02E02,eliminated,-,-,Be Safe Bitch N.P. Brooks
E0010,Q0019,US02,US02E03,eliminated,-,-,Balls 2 the walls // Fishes or Bitches > You pick // Mystique
E0011,Q0018,US02,US02E04,eliminated,-,-,"☮♥ XO Son!que ""Trust"
E0012,Q0017,US02,US02E05,eliminated,-,-,All you have to do is DREAM! Love Morgan XOXO!
E0013,Q0016,US02,US02E06,eliminated,-,-,"Live, Love & Believe!! XO. Sahara"
E0014,Q0015,US02,US02E07,eliminated,-,-,♥ I love you girls! ¡Viva P.R.! xoxo JW ♥♥
E0015,Q0014,US02,US02E08,eliminated,-,-,"Lick this Boxx, bitch // XOXO // Love you all! Pandora Boxx"
E0016,Q0013,US02,US02E09,eliminated,-,-,Do you 2 the FULLEST! Love TATI ♥
E0017,Q0012,US02,US02E11,eliminated,-,-,-
E0018,Q0033,US03,US03E02,eliminated,-,-,"Don't Be Shady!! Be A Lady! Love Ya, Venus DLite"
E0019,Q0032,US03,US03E03,eliminated,-,-,"BE You Bitches (Boots) Loves, Phoenix"
E0020,Q0031,US03,US03E04,eliminated,-,-,mimiimfurst.com // life is too short to live someone elses.
E0021,Q0030,US03,US03E05,eliminated,-,-,Never give up! Your all STARS!!! xoxo India
E0022,Q0029,US03,US03E06,eliminated,-,-,Condragulations Raja. Mug4Dayz! Mariah
E0023,Q0028,US03,US03E07,eliminated,-,-,Be a lady! You're All Amazing. Stacy Layne 'Bryant' Matthews // Jig...
E0024,Q0027,US03,US03E08,eliminated,-,-,WORK HEATHERS xoxo Delta
E0025,Q0026,US03,US03E10,eliminated,-,-,HEATHER better win!
E0026,Q0021,US03,US03E11,eliminated,-,-,Always live your dream and believe in second chances. Halleloo! ♡ Shangela:)
E0027,Q0026,US03,US03E12,eliminated,-,-,Good bye AGAIN!! Best of luck to everyone. Turn it out & don't be a sprepper! xoxo Carmen
E0028,Q0025,US03,US03E13,eliminated,-,-,"Echa pa' lante, no mires pa' atras pa' coger impulso, and you know what f&%k you haha ha ha"
E0029,Q0024,US03,US03E15,eliminated,-,-,-
E0030,Q0046,US04,US04E01,eliminated,-,-,"Keep it cute, ladies! Shady sisters 4-ever! ♥ Alisa"
E0031,Q0045,US04,US04E02,eliminated,-,-,Stay true 2 U + xoxo good luck! - Beyond!
E0032,Q0044,US04,US04E03,eliminated,-,-,This is (only) the beginning! Much Love - The Princess / I ♥ U DIDA RITZ!
E0033,Q0043,US04,US04E04,eliminated,-,-,"Girls: Stay humble... People go up... You'll be on the way down! Kisses MLQ / Chad, Sharon, Milan, Dita = True Friends / Kenya: Botate Mami!"
E0034,Q0038,US04,US04E05,eliminated,-,-,"Remember, the real queen is not made in this 4 wall. I'll be waiting for you in my kindom \[sic\] / Phi Phi - I love you - sisters 4 ever"
E0035,Q0042,US04,US04E06,eliminated,-,-,"Say love n show love / Colored girl, why yo base look like chalk? / Jiggly REPRESENT / Dwayne Milan / ♥ ♥ ♥ ♥"
E0036,Q0041,US04,US04E07,eliminated,-,-,To my Bitchez / ♥ y'all 2 Death! / C U @ da Reunion! / Keep it REAL! / Luv the Dusty RPDR4 Girls! <3 / Shady / I can get \*\*\*\*\*\* now! / <3 Dida / Jiggly Caliente
E0037,Q0040,US04,US04E08,disqualified,-,Disqualified; bottom two (Phi Phi O'Hara & Sharon Needles) both stayed (double shantay),"""Hi, I showed my ass (a lot). So here's one for the ROAD. 🍑 have fun / Willam"""
E0038,Q0038,US04,US04E10,eliminated,-,-,"Girl I say bye again! Thank 4 your love. When I left this competition, I felt loved. I love you, And the winner is..... I don't know. Kiss K.M."
E0039,Q0037,US04,US04E11,eliminated,-,-,"My divas, Remember who you are, and what you stand for / I love you and miss you all. Stay fierce!! Latrice Royale"
E0040,Q0060,US05,US05E01,eliminated,-,-,You are ALL STARS!! Smooches PT
E0041,Q0058,US05,US05E03,eliminated,-,-,Love all of u guys / Remember 'never be a victor!' -♡- Monica Beverly Hillz
E0042,Q0057,US05,US05E04,eliminated,-,-,"""Keep on loving each other. We will meet again... I can't wait! All my L♡VE - Honey Mahogany"""
E0043,Q0055,US05,US05E05,eliminated,-,-,Latino shade! It was a pleasure to meet you all! Thank for your friendship. XOXO Kiss and hugs! Lineysha
E0044,Q0054,US05,US05E06,eliminated,-,-,"Cheers to my 🐟 fish, fabulous and fierce sisters / I ♡ you all ♡ Jade J."
E0045,Q0053,US05,US05E08,eliminated,-,-,I Love you Girls So Much!! You Always have a friend in me! xoxo IVY💋
E0046,Q0052,US05,US05E09,eliminated,-,-,"THE SKY IS THE LIMIT WHEN YOUR ♡'S IN IT! Don't dream it, BE IT. Always & forever, Alyssa!"
E0047,Q0051,US05,US05E10,eliminated,-,-,I LOVE YOU ALL! GIVE THEM HELL GIRLS / Love Coco M.
E0048,Q0050,US05,US05E11,eliminated,-,-,Condragulations grillz! Go fucking KILL Them! Rolaskatox 4EVAAAHH! ♡ Detox
E0049,Q0074,US06,US06E01,eliminated,-,-,"""Love u girlz! Rock your pussies! XOXO 💋💋 Kelly Mantle P.S. Eat my BACON!"""
