appearance_id,person_name,season_id,episode_id,appearance_type,role_detail,is_drag_race_alum,alum_queen_id,notes
AP0001,Ariana Grande,US15,US15E02,GUEST_JUDGE,singer and actress,No,,
AP0002,Maren Morris,US15,US15E03,GUEST_JUDGE,singer-songwriter,No,,
AP0003,Amandla Stenberg,US15,US15E04,GUEST_JUDGE,actress,No,,
AP0004,Janelle Monáe,US15,US15E05,GUEST_JUDGE,"singer, rapper, actress",No,,
AP0005,Megan Stalter,US15,US15E06,GUEST_JUDGE,comedian,No,,
AP0006,Harvey Guillén,US15,US15E07,GUEST_JUDGE,actor,No,,
AP0007,Julia Garner,US15,US15E09,GUEST_JUDGE,actress,No,,
AP0008,Ali Wong,US15,US15E11,GUEST_JUDGE,comedian and actress,No,,
AP0009,Orville Peck,US15,US15E12,GUEST_JUDGE,country musician,No,,
AP0010,Hayley Kiyoko,US15,US15E13,GUEST_JUDGE,singer,No,,
AP0011,Ariana Grande,US15,US15E01,MAINSTAGE_GUEST,special guest,No,,
AP0012,Vivacious,US15,US15E01,MAINSTAGE_GUEST,drag performer,No,,
AP0013,Freddy Scott,US15,US15E06,WERKROOM_GUEST,composer and actor,No,,
AP0014,Leland,US15,US15E06,WERKROOM_GUEST,producer,No,,
AP0015,Old Gays,US15,US15E06,MAINSTAGE_GUEST,social media personalities,No,,
AP0016,Danny Trejo,US15,US15E07,MAINSTAGE_GUEST,actor,No,,
AP0017,Charo,US15,US15E10,WERKROOM_GUEST,entertainer,No,,
AP0018,Frankie Grande,US15,US15E10,WERKROOM_GUEST,internet personality,No,,
AP0019,Love Connie,US15,US15E10,WERKROOM_GUEST,drag performer,No,,
AP0020,Miguel Zarate,US15,US15E12,WERKROOM_GUEST,choreographer,No,,
AP0021,Norvina,US15,US15E13,WERKROOM_GUEST,ABH president,No,,
AP0022,Miguel Zarate,US15,US15E14,WERKROOM_GUEST,choreographer,No,,
AP0023,Kevin Bacon,US15,US15E15,MAINSTAGE_GUEST,actor,No,,
AP0024,Susan Bysiewicz,US15,US15E15,MAINSTAGE_GUEST,Lt. Governor of Connecticut,No,,
AP0025,Aquaria,US15,US15E15,MAINSTAGE_GUEST,Drag Race alum,Yes,Q0115,
AP0026,Asia O'Hara,US15,US15E15,MAINSTAGE_GUEST,Drag Race alum,Yes,Q0117,
AP0027,Coco Montrese,US15,US15E15,MAINSTAGE_GUEST,Drag Race alum,Yes,Q0051,
AP0028,DeJa Skye,US15,US15E15,MAINSTAGE_GUEST,Drag Race alum,Yes,Q0173,
AP0029,Derrick Barry,US15,US15E15,MAINSTAGE_GUEST,Drag Race alum,Yes,Q0093,
AP0030,Maddy Morphosis,US15,US15E15,MAINSTAGE_GUEST,Drag Race alum,Yes,Q0177,
AP0031,Bob Mackie,US15,US15E16,MAINSTAGE_GUEST,fashion designer,No,,
AP0032,Leland,US15,US15E16,MAINSTAGE_GUEST,producer,No,,
AP0033,Orville Peck,US15,US15E16,MAINSTAGE_GUEST,musician,No,,
AP0034,Vanessa Williams,US15,US15E16,MAINSTAGE_GUEST,singer and actress,No,,
AP0035,Jinkx Monsoon,US15,US15E16,MAINSTAGE_GUEST,Drag Race alum,Yes,Q0047,
AP0036,Kornbread Jeté,US15,US15E16,MAINSTAGE_GUEST,Drag Race alum,No,,
AP0037,Willow Pill,US15,US15E16,MAINSTAGE_GUEST,Drag Race alum,Yes,Q0168,
AP0038,Charlize Theron,US16,US16E01,GUEST_JUDGE,actress and producer,No,,
AP0039,Becky G,US16,US16E02,GUEST_JUDGE,singer and actress,No,,
AP0040,Isaac Mizrahi,US16,US16E03,GUEST_JUDGE,fashion designer,No,,
AP0041,Sarah Michelle Gellar,US16,US16E04,GUEST_JUDGE,actress,No,,
AP0042,Icona Pop,US16,US16E05,GUEST_JUDGE,electropop duo,No,,
AP0043,Law Roach,US16,US16E06,GUEST_JUDGE,stylist,No,,
AP0044,Adam Shankman,US16,US16E07,GUEST_JUDGE,director/choreographer,No,,
AP0045,Kyra Sedgwick,US16,US16E08,GUEST_JUDGE,actress,No,,
AP0046,Kaia Gerber,US16,US16E09,GUEST_JUDGE,model,No,,
AP0047,Jamal Sims,US16,US16E10,GUEST_JUDGE,choreographer,No,,
AP0048,Joel Kim Booster,US16,US16E11,GUEST_JUDGE,actor and comedian,No,,
AP0049,Mayan Lopez,US16,US16E12,GUEST_JUDGE,actress,No,,
AP0050,Kelsea Ballerini,US16,US16E13,GUEST_JUDGE,singer,No,,
AP0051,Ronan Farrow,US16,US16E14,GUEST_JUDGE,journalist,No,,
AP0052,Derrick Barry,US16,US16E01,WERKROOM_GUEST,Drag Race alum,Yes,Q0093,
AP0053,Love Connie,US16,US16E01,WERKROOM_GUEST,drag performer,No,,
AP0054,Charo,US16,US16E06,WERKROOM_GUEST,entertainer,No,,
AP0055,Melissa McCarthy,US16,US16E07,MAINSTAGE_GUEST,actress and comedian,No,,
AP0056,Chad Michaels,US16,US16E08,WERKROOM_GUEST,Drag Race alum (AS1 winner),Yes,Q0035,
AP0057,Leland,US16,US16E10,WERKROOM_GUEST,music producer,No,,
AP0058,Freddy Scott,US16,US16E10,WERKROOM_GUEST,composer,No,,
AP0059,Norvina,US16,US16E12,WERKROOM_GUEST,ABH president,No,,
AP0060,Albert Sanchez,US16,US16E14,WERKROOM_GUEST,photographer,No,,
AP0061,Matt Rogers,US16,US16E14,MAINSTAGE_GUEST,comedian/host,No,,
AP0062,Sasha Colby,US16,US16E16,MAINSTAGE_GUEST,Drag Race alum (S15 winner),Yes,Q0182,
AP0063,Malaysia Babydoll Foxx,US16,US16E16,MAINSTAGE_GUEST,Drag Race alum (S15 MissC),Yes,Q0186,
AP0064,Cassandra Peterson,US16,US16E16,MAINSTAGE_GUEST,actress (Elvira),No,,
AP0065,Katy Perry,US17,US17E01,GUEST_JUDGE,singer,No,,
AP0066,Doechii,US17,US17E02,GUEST_JUDGE,rapper and singer,No,,
AP0067,Sandra Bernhard,US17,US17E03,GUEST_JUDGE,actress and comedian,No,,
AP0068,Julia Schlaepfer,US17,US17E04,GUEST_JUDGE,actress,No,,
AP0069,Lawrence Chaney,US17,US17E02,MAINSTAGE_GUEST,Drag Race UK alum,No,,
AP0070,Tracee Ellis Ross,US17,US17E14,GUEST_JUDGE,actress,No,,
AP0071,Cardi B,US18,US18E01,GUEST_JUDGE,rapper,No,,
AP0072,Dove Cameron,US18,US18E02,GUEST_JUDGE,actress/singer,No,,
AP0073,Iman,US18,US18E10,GUEST_JUDGE,supermodel,No,,
AP0074,Atsuko Okatsuka,US18,US18E11,GUEST_JUDGE,comedian,No,,
AP0075,Julianne Nicholson,US18,US18E12,GUEST_JUDGE,actress,No,,
AP0076,Danielle Pinnock,US18,US18E13,GUEST_JUDGE,actress,No,,
AP0077,Benny Blanco,US18,US18E09,GUEST_JUDGE,music producer,No,,
AP0078,Leland,US18,US18E09,GUEST_JUDGE,music producer,No,,
AP0079,Brooke Shields,US18,US18E07,GUEST_JUDGE,actress/model,No,,
AP0080,Bob the Drag Queen,US18,US18E01,WERKROOM_GUEST,Drag Race alum,Yes,Q0089,
AP0081,Kim Chi,US18,US18E01,WERKROOM_GUEST,Drag Race alum,Yes,Q0090,
AP0082,Raja,US18,US18E01,WERKROOM_GUEST,Drag Race alum,Yes,Q0022,
AP0083,Jamal Sims,US18,US18E01,WERKROOM_GUEST,choreographer,No,,
AP0084,Teyana Taylor,US18,US18E13,GUEST_JUDGE,actress/singer,No,,confirmed S18 guest judge
AP0085,Zara Larsson,US18,US18E05,GUEST_JUDGE,singer,No,,confirmed S18 guest judge
AP0086,Amy Taylor,US18,US18E06,GUEST_JUDGE,musician (Amyl and the Sniffers),No,,confirmed S18 guest judge
AP0087,Annaleigh Ashford,US18,US18E04,GUEST_JUDGE,actress,No,,confirmed S18 guest judge
AP0088,Sarah Sherman,US18,US18E03,GUEST_JUDGE,comedian (SNL),No,,confirmed S18 guest judge
AP0089,Law Roach,US18,US18E04,GUEST_JUDGE,stylist,No,,confirmed S18 guest judge
AP0090,Jamal Sims,US18,US18E07,GUEST_JUDGE,choreographer,No,,confirmed S18 guest judge
AP0091,Sapphira Cristál,US17,US17E16,MAINSTAGE_GUEST,S16 winner alum guest (finale),Yes,Q0199,S17 finale guest
AP0092,Xunami Muse,US17,US17E16,MAINSTAGE_GUEST,S16 alum guest (finale),Yes,Q0206,S17 finale guest
AP0093,Nymphia Wind,US17,US17E16,MAINSTAGE_GUEST,S16 winner alum guest (finale),Yes,Q0198,S17 finale guest
AP0094,Liza Minnelli,US17,US17E16,MAINSTAGE_GUEST,Lifetime Achievement honoree (finale),No,,
AP0095,Bob Mackie,US01,US01E01,GUEST_JUDGE,fashion designer,No,,
AP0096,Mike Ruiz,US01,US01E01,WERKROOM_GUEST,photographer (mini-challenge),No,,
AP0097,Michelle Williams,US01,US01E02,GUEST_JUDGE,singer (Destiny's Child),No,,
AP0098,Debra Wilson,US01,US01E03,GUEST_JUDGE,actress/comedian (MADtv),No,,
AP0099,Lucy Lawless,US01,US01E05,GUEST_JUDGE,actress,No,,S1 guest judge
AP0100,Maria Conchita Alonso,US01,US01E06,GUEST_JUDGE,actress/singer,No,,S1 guest judge; exact episode not yet verified
AP0101,Robin Antin,US01,US01E05,GUEST_JUDGE,creator of The Pussycat Dolls,No,,S1 guest judge; exact episode not yet verified
AP0102,Jenny Shimizu,US01,US01E04,GUEST_JUDGE,model/actress,No,,S1 guest judge
AP0103,Tori Spelling,US01,US01E03,GUEST_JUDGE,actress,No,,S1 guest judge; exact episode not yet verified
AP0104,Dean McDermott,US01,US01E03,GUEST_JUDGE,actor,No,,S1 guest judge; exact episode not yet verified
AP0105,Howard Bragman,US01,US01E03,GUEST_JUDGE,author/publicist,No,,S1 guest judge; exact episode not yet verified
AP0106,Frank Gatson,US01,US01E02,GUEST_JUDGE,choreographer,No,,S1 guest judge
AP0107,Tanya Tucker,US02,US02E03,GUEST_JUDGE,country music legend,No,,
AP0108,Kathy Najimy,US02,US02E03,GUEST_JUDGE,actress (directed commercial),No,,
AP0109,Niecy Nash,US02,US02E04,GUEST_JUDGE,comedian/actress,No,,
AP0110,Lisa Rinna,US02,US02E04,GUEST_JUDGE,actress,No,,
AP0111,Alec Mapa,US02,US02E04,MAINSTAGE_GUEST,actor,No,,
AP0112,Phoebe Price,US02,US02E04,MAINSTAGE_GUEST,celebrity personality,No,,
AP0113,Marc Malkin,US02,,GUEST_JUDGE,E! journalist,No,,S2 book-cover episode; exact ep not yet verified
AP0114,Jackie Collins,US02,US02E07,GUEST_JUDGE,author,No,,S2 book-cover episode; exact ep not yet verified
AP0115,Gigi Levangie,US02,US02E07,GUEST_JUDGE,author,No,,S2 book-cover episode; exact ep not yet verified
AP0116,Tatum O'Neal,US02,US02E09,GUEST_JUDGE,Academy Award winner,No,,S2 divalicious award-shows episode; exact ep not yet verified
AP0117,Marissa Jaret Winokur,US02,US02E09,GUEST_JUDGE,Tony Award winner,No,,S2 divalicious award-shows episode; exact ep not yet verified
AP0118,Susan Powter,US03,US03E02,GUEST_JUDGE,fitness guru,No,,
AP0119,La Toya Jackson,US03,US03E02,GUEST_JUDGE,singer,No,,
AP0120,Lily Tomlin,US03,US03E03,GUEST_JUDGE,actress and comedian,No,,
AP0121,Alessandra Torresani,US03,US03E03,GUEST_JUDGE,actress,No,,
AP0122,Chloë Sevigny,US03,US03E05,GUEST_JUDGE,actress and model,No,,S3 morning-news episode
AP0123,Debbie Matenopoulos,US03,US03E05,GUEST_JUDGE,television host,No,,S3 morning-news episode
AP0124,Kristin Cavallari,US03,US03E05,MAINSTAGE_GUEST,TV personality (interviewed),No,,S3 morning-news episode
AP0125,Bruce Vilanch,US03,US03E02,GUEST_JUDGE,comedy writer,No,,S3 guest judge
AP0126,Vanessa Williams,US03,US03E02,GUEST_JUDGE,actress/singer,No,,S3 guest judge
AP0127,Aisha Tyler,US03,US03E06,GUEST_JUDGE,comedian/actress,No,,S3 guest judge
AP0128,Amber Rose,US03,US03E06,GUEST_JUDGE,model,No,,S3 guest judge
AP0129,Eliza Dushku,US03,US03E07,GUEST_JUDGE,actress,No,,S3 guest judge
AP0130,Sara Rue,US03,US03E07,GUEST_JUDGE,actress,No,,S3 guest judge
AP0131,Rita Rudner,US03,US03E08,GUEST_JUDGE,comedian,No,,S3 guest judge
AP0132,Arden Myrin,US03,US03E08,GUEST_JUDGE,comedian,No,,S3 guest judge
AP0133,Cheryl Tiegs,US03,US03E09,GUEST_JUDGE,model,No,,S3 guest judge
AP0134,Johnny Weir,US03,US03E09,GUEST_JUDGE,figure skater,No,,S3 guest judge
AP0135,Jody Watley,US03,US03E10,GUEST_JUDGE,singer,No,,S3 guest judge
AP0136,Carmen Electra,US03,US03E10,GUEST_JUDGE,actress,No,,S3 guest judge
AP0137,Wayne Brady,US03,US03E11,GUEST_JUDGE,actor/comedian,No,,S3 guest judge
AP0138,Fantasia Barrino,US03,US03E11,GUEST_JUDGE,singer,No,,S3 guest judge
AP0139,Margaret Cho,US03,US03E12,GUEST_JUDGE,actress/comedian,No,,S3 guest judge
AP0140,Sharon Osbourne,US03,US03E12,GUEST_JUDGE,TV personality,No,,S3 guest judge
AP0141,Mike Ruiz,US03,US03E02,WERKROOM_GUEST,photographer,No,,S3 photographer
AP0142,Rick Fox,US04,US04E02,GUEST_JUDGE,actor/former NBA player,No,,
