progression_id,contestant_id,queen_id,season_id,episode_id,status
P0001,US01-Q0001,Q0001,US01,US01E01,SAFE
P0002,US01-Q0002,Q0002,US01,US01E01,WIN
P0003,US01-Q0003,Q0003,US01,US01E01,LOW
P0004,US01-Q0004,Q0004,US01,US01E01,SAFE
P0005,US01-Q0005,Q0005,US01,US01E01,HIGH
P0006,US01-Q0006,Q0006,US01,US01E01,SAFE
P0007,US01-Q0007,Q0007,US01,US01E01,BTM
P0008,US01-Q0008,Q0008,US01,US01E01,SAFE
P0009,US01-Q0009,Q0009,US01,US01E01,ELIM
P0010,US01-Q0001,Q0001,US01,US01E02,SAFE
P0011,US01-Q0002,Q0002,US01,US01E02,SAFE
P0012,US01-Q0003,Q0003,US01,US01E02,SAFE
P0013,US01-Q0004,Q0004,US01,US01E02,SAFE
P0014,US01-Q0005,Q0005,US01,US01E02,WIN
P0015,US01-Q0006,Q0006,US01,US01E02,SAFE
P0016,US01-Q0007,Q0007,US01,US01E02,BTM
P0017,US01-Q0008,Q0008,US01,US01E02,ELIM
P0018,US01-Q0001,Q0001,US01,US01E03,WIN
P0019,US01-Q0002,Q0002,US01,US01E03,HIGH
P0020,US01-Q0003,Q0003,US01,US01E03,HIGH
P0021,US01-Q0004,Q0004,US01,US01E03,BTM
P0022,US01-Q0005,Q0005,US01,US01E03,HIGH
P0023,US01-Q0006,Q0006,US01,US01E03,LOW
P0024,US01-Q0007,Q0007,US01,US01E03,ELIM
P0025,US01-Q0001,Q0001,US01,US01E04,HIGH
P0026,US01-Q0002,Q0002,US01,US01E04,HIGH
P0027,US01-Q0003,Q0003,US01,US01E04,BTM
P0028,US01-Q0004,Q0004,US01,US01E04,LOW
P0029,US01-Q0005,Q0005,US01,US01E04,WIN
P0030,US01-Q0006,Q0006,US01,US01E04,ELIM
P0031,US01-Q0001,Q0001,US01,US01E05,BTM
P0032,US01-Q0002,Q0002,US01,US01E05,LOW
P0033,US01-Q0003,Q0003,US01,US01E05,WIN
P0034,US01-Q0004,Q0004,US01,US01E05,HIGH
P0035,US01-Q0005,Q0005,US01,US01E05,ELIM
P0036,US01-Q0001,Q0001,US01,US01E06,WIN
P0037,US01-Q0002,Q0002,US01,US01E06,HIGH
P0038,US01-Q0003,Q0003,US01,US01E06,BTM
P0039,US01-Q0004,Q0004,US01,US01E06,ELIM
P0040,US01-Q0001,Q0001,US01,US01E08,WINNER
P0041,US01-Q0002,Q0002,US01,US01E08,RUNNER-UP
P0042,US01-Q0003,Q0003,US01,US01E08,ELIM
P0043,US02-Q0010,Q0010,US02,US02E01,HIGH
P0044,US02-Q0011,Q0011,US02,US02E01,SAFE
P0045,US02-Q0012,Q0012,US02,US02E01,SAFE
P0046,US02-Q0013,Q0013,US02,US02E01,SAFE
P0047,US02-Q0014,Q0014,US02,US02E01,HIGH
P0048,US02-Q0015,Q0015,US02,US02E01,SAFE
P0049,US02-Q0016,Q0016,US02,US02E01,BTM
P0050,US02-Q0017,Q0017,US02,US02E01,WIN
P0051,US02-Q0018,Q0018,US02,US02E01,SAFE
P0052,US02-Q0019,Q0019,US02,US02E01,LOW
P0053,US02-Q0020,Q0020,US02,US02E01,SAFE
P0054,US02-Q0021,Q0021,US02,US02E01,ELIM
P0055,US02-Q0010,Q0010,US02,US02E02,SAFE
P0056,US02-Q0011,Q0011,US02,US02E02,BTM
P0057,US02-Q0012,Q0012,US02,US02E02,SAFE
P0058,US02-Q0013,Q0013,US02,US02E02,SAFE
P0059,US02-Q0014,Q0014,US02,US02E02,SAFE
P0060,US02-Q0015,Q0015,US02,US02E02,SAFE
P0061,US02-Q0016,Q0016,US02,US02E02,WIN
P0062,US02-Q0017,Q0017,US02,US02E02,SAFE
P0063,US02-Q0018,Q0018,US02,US02E02,LOW
P0064,US02-Q0019,Q0019,US02,US02E02,SAFE
P0065,US02-Q0020,Q0020,US02,US02E02,ELIM
P0066,US02-Q0010,Q0010,US02,US02E03,WIN
P0067,US02-Q0011,Q0011,US02,US02E03,BTM
P0068,US02-Q0012,Q0012,US02,US02E03,SAFE
P0069,US02-Q0013,Q0013,US02,US02E03,SAFE
P0070,US02-Q0014,Q0014,US02,US02E03,HIGH
P0071,US02-Q0015,Q0015,US02,US02E03,HIGH
P0072,US02-Q0016,Q0016,US02,US02E03,SAFE
P0073,US02-Q0017,Q0017,US02,US02E03,SAFE
P0074,US02-Q0018,Q0018,US02,US02E03,SAFE
P0075,US02-Q0019,Q0019,US02,US02E03,ELIM
P0076,US02-Q0010,Q0010,US02,US02E04,SAFE
P0077,US02-Q0011,Q0011,US02,US02E04,SAFE
P0078,US02-Q0012,Q0012,US02,US02E04,LOW
P0079,US02-Q0013,Q0013,US02,US02E04,WIN
P0080,US02-Q0014,Q0014,US02,US02E04,HIGH
P0081,US02-Q0015,Q0015,US02,US02E04,SAFE
P0082,US02-Q0016,Q0016,US02,US02E04,SAFE
P0083,US02-Q0017,Q0017,US02,US02E04,BTM
P0084,US02-Q0018,Q0018,US02,US02E04,ELIM
P0085,US02-Q0010,Q0010,US02,US02E05,WIN
P0086,US02-Q0011,Q0011,US02,US02E05,HIGH
P0087,US02-Q0012,Q0012,US02,US02E05,HIGH
P0088,US02-Q0013,Q0013,US02,US02E05,LOW
P0089,US02-Q0014,Q0014,US02,US02E05,SAFE
P0090,US02-Q0015,Q0015,US02,US02E05,HIGH
P0091,US02-Q0016,Q0016,US02,US02E05,BTM
P0092,US02-Q0017,Q0017,US02,US02E05,ELIM
P0093,US02-Q0010,Q0010,US02,US02E06,LOW
P0094,US02-Q0011,Q0011,US02,US02E06,HIGH
P0095,US02-Q0012,Q0012,US02,US02E06,BTM
P0096,US02-Q0013,Q0013,US02,US02E06,SAFE
P0097,US02-Q0014,Q0014,US02,US02E06,HIGH
P0098,US02-Q0015,Q0015,US02,US02E06,WIN
P0099,US02-Q0016,Q0016,US02,US02E06,ELIM
P0100,US02-Q0010,Q0010,US02,US02E07,SAFE
P0101,US02-Q0011,Q0011,US02,US02E07,WIN
P0102,US02-Q0012,Q0012,US02,US02E07,HIGH
P0103,US02-Q0013,Q0013,US02,US02E07,BTM
P0104,US02-Q0014,Q0014,US02,US02E07,LOW
P0105,US02-Q0015,Q0015,US02,US02E07,ELIM
P0106,US02-Q0010,Q0010,US02,US02E08,HIGH
P0107,US02-Q0011,Q0011,US02,US02E08,WIN
P0108,US02-Q0012,Q0012,US02,US02E08,BTM
P0109,US02-Q0013,Q0013,US02,US02E08,HIGH
P0110,US02-Q0014,Q0014,US02,US02E08,ELIM
P0111,US02-Q0010,Q0010,US02,US02E09,WIN
P0112,US02-Q0011,Q0011,US02,US02E09,HIGH
P0113,US02-Q0012,Q0012,US02,US02E09,BTM
P0114,US02-Q0013,Q0013,US02,US02E09,ELIM
P0115,US02-Q0010,Q0010,US02,US02E11,WINNER
P0116,US02-Q0011,Q0011,US02,US02E11,RUNNER-UP
P0117,US02-Q0012,Q0012,US02,US02E11,ELIM
P0118,US03-Q0022,Q0022,US03,US03E02,WIN
P0119,US03-Q0023,Q0023,US03,US03E02,HIGH
P0120,US03-Q0024,Q0024,US03,US03E02,SAFE
P0121,US03-Q0025,Q0025,US03,US03E02,SAFE
P0122,US03-Q0026,Q0026,US03,US03E02,LOW
P0123,US03-Q0021,Q0021,US03,US03E02,BTM
P0124,US03-Q0027,Q0027,US03,US03E02,SAFE
P0125,US03-Q0028,Q0028,US03,US03E02,SAFE
P0126,US03-Q0029,Q0029,US03,US03E02,SAFE
P0127,US03-Q0030,Q0030,US03,US03E02,SAFE
P0128,US03-Q0031,Q0031,US03,US03E02,HIGH
P0129,US03-Q0032,Q0032,US03,US03E02,SAFE
P0130,US03-Q0033,Q0033,US03,US03E02,ELIM
P0131,US03-Q0022,Q0022,US03,US03E03,SAFE
P0132,US03-Q0023,Q0023,US03,US03E03,SAFE
P0133,US03-Q0024,Q0024,US03,US03E03,WIN
P0134,US03-Q0025,Q0025,US03,US03E03,SAFE
P0135,US03-Q0026,Q0026,US03,US03E03,LOW
P0136,US03-Q0021,Q0021,US03,US03E03,WIN
P0137,US03-Q0027,Q0027,US03,US03E03,BTM
P0138,US03-Q0028,Q0028,US03,US03E03,SAFE
P0139,US03-Q0029,Q0029,US03,US03E03,SAFE
P0140,US03-Q0030,Q0030,US03,US03E03,SAFE
P0141,US03-Q0031,Q0031,US03,US03E03,SAFE
P0142,US03-Q0032,Q0032,US03,US03E03,ELIM
P0143,US03-Q0022,Q0022,US03,US03E04,SAFE
P0144,US03-Q0023,Q0023,US03,US03E04,SAFE
P0145,US03-Q0024,Q0024,US03,US03E04,WIN
P0146,US03-Q0025,Q0025,US03,US03E04,HIGH
